Hammurabi	Q36359	-1810	Q6581097
Ramesses II	Q1523	-1303	Q6581097
Cyrus the Great	Q8423	-0600	Q6581097
Alexander the Great	Q8409	-0356	Q6581097
Ashoka	Q8589	-0304	Q6581097
Qin Shi Huang	Q7192	-0259	Q6581097
Julius Caesar	Q1048	-0100	Q6581097
Cleopatra	Q635	-0069	Q6581072
Augustus	Q1405	-0063	Q6581097
Charlemagne	Q3044	0748	Q6581097
Genghis Khan	Q720	1162	Q6581097
Mansa Musa	Q309333	1280	Q6581097
Timur	Q8462	1336	Q6581097
Joan of Arc	Q7226	1412	Q6581072
Suleiman the Magnificent	Q8474	1494	Q6581097
Akbar	Q8597	1542	Q6581097
Elizabeth I	Q7207	1533	Q6581072
Catherine the Great	Q36450	1729	Q6581072
George Washington	Q23	1732	Q6581097
Napoleon	Q517	1769	Q6581097
Simón Bolívar	Q8605	1783	Q6581097
Abraham Lincoln	Q91	1809	Q6581097
Mahatma Gandhi	Q1001	1869	Q6581097
Joseph Stalin	Q855	1878	Q6581097
Adolf Hitler	Q352	1889	Q6581097
Mao Zedong	Q5816	1893	Q6581097
Nelson Mandela	Q8023	1918	Q6581097
Marco Polo	Q6101	1254	Q6581097
Zheng He	Q7333	1371	Q6581097
Christopher Columbus	Q7322	1451	Q6581097
Vasco da Gama	Q7328	1469	Q6581097
Ferdinand Magellan	Q1496	1480	Q6581097
James Cook	Q7324	1728	Q6581097
Leonardo da Vinci	Q762	1452	Q6581097
Michelangelo	Q5592	1475	Q6581097
Rembrandt	Q5598	1606	Q6581097
Hokusai	Q5586	1760	Q6581097
Vincent van Gogh	Q5582	1853	Q6581097
Pablo Picasso	Q5593	1881	Q6581097
Confucius	Q4604	-0552	Q6581097
Laozi	Q9333	-0604	Q6581097
Herodotus	Q26825	-0484	Q6581097
Socrates	Q913	-0470	Q6581097
Plato	Q859	-0427	Q6581097
Aristotle	Q868	-0384	Q6581097
Cicero	Q1541	-0106	Q6581097
Thomas Aquinas	Q9438	1225	Q6581097
Ibn Khaldun	Q9294	1332	Q6581097
Niccolò Machiavelli	Q1399	1469	Q6581097
René Descartes	Q9191	1596	Q6581097
John Locke	Q9353	1632	Q6581097
Adam Smith	Q9381	1723	Q6581097
Immanuel Kant	Q9312	1724	Q6581097
Mary Wollstonecraft	Q101638	1759	Q6581072
Karl Marx	Q9061	1818	Q6581097
Friedrich Nietzsche	Q9358	1844	Q6581097
Sigmund Freud	Q9215	1856	Q6581097
Homer	Q6691	-0900	Q6581097
Virgil	Q1398	-0070	Q6581097
Li Bai	Q7071	0701	Q6581097
Murasaki Shikibu	Q81731	0973	Q6581072
Rumi	Q43347	1207	Q6581097
Dante Alighieri	Q1067	1265	Q6581097
Miguel de Cervantes	Q5682	1547	Q6581097
William Shakespeare	Q692	1564	Q6581097
Voltaire	Q9068	1694	Q6581097
Leo Tolstoy	Q7243	1828	Q6581097
Rabindranath Tagore	Q7241	1861	Q6581097
Johann Sebastian Bach	Q1339	1685	Q6581097
Wolfgang Amadeus Mozart	Q254	1756	Q6581097
Ludwig van Beethoven	Q255	1770	Q6581097
Louis Armstrong	Q1779	1901	Q6581097
Michael Jackson	Q2831	1958	Q6581097
Charlie Chaplin	Q882	1889	Q6581097
Walt Disney	Q8704	1901	Q6581097
Hippocrates	Q5264	-0460	Q6581097
Avicenna	Q8011	0980	Q6581097
Shen Kuo	Q270085	1031	Q6581097
Johannes Gutenberg	Q8958	1400	Q6581097
Nicolaus Copernicus	Q619	1473	Q6581097
Galileo Galilei	Q307	1564	Q6581097
Isaac Newton	Q935	1642	Q6581097
Carl Linnaeus	Q1043	1707	Q6581097
Antoine Lavoisier	Q39607	1743	Q6581097
Michael Faraday	Q8750	1791	Q6581097
Charles Darwin	Q1035	1809	Q6581097
Florence Nightingale	Q37103	1820	Q6581072
Louis Pasteur	Q529	1822	Q6581097
James Clerk Maxwell	Q9095	1831	Q6581097
Dmitri Mendeleev	Q9106	1834	Q6581097
Thomas Edison	Q8743	1847	Q6581097
Nikola Tesla	Q9036	1856	Q6581097
Marie Curie	Q7186	1867	Q6581072
Albert Einstein	Q937	1879	Q6581097
Archimedes	Q8739	-0287	Q6581097
Euclid	Q8747	-0333	Q6581097
Al-Khwarizmi	Q9038	0750	Q6581097
Leonhard Euler	Q7604	1707	Q6581097
Carl Friedrich Gauss	Q6722	1777	Q6581097
Emmy Noether	Q7099	1882	Q6581072
Kurt Gödel	Q41390	1906	Q6581097
Alan Turing	Q7251	1912	Q6581097
The Buddha	Q9441	-0563	Q6581097
Jesus	Q302	-0007	Q6581097
Paul the Apostle	Q9200	0005	Q6581097
Muhammad	Q9458	0570	Q6581097
Ali	Q39619	0599	Q6581097
Adi Shankara	Q180967	0788	Q6581097
Martin Luther	Q9554	1483	Q6581097
Henry Ford	Q8768	1863	Q6581097
